,Unnamed: 0,TV,Price,Platform
0,0,Adsun 80 cm (32 inch) HD Ready LED Smart TV,"₹8,699",Netflix|Disney+Hotstar|Youtube
1,1,Nokia 102 cm (40 inch) Full HD LED Smart Android TV,"₹23,999",Netflix|Prime Video|Disney+Hotstar|Youtube
2,2,Xiaomi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹15,499",Netflix|Prime Video|Disney+Hotstar|Youtube
3,3,realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",Netflix|Prime Video|Disney+Hotstar|Youtube
4,4,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,"₹15,999",Netflix|Disney+Hotstar|Youtube
5,5,Vu Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹29,499",Netflix|Prime Video|Disney+Hotstar|Youtube
6,6,LG 80 cm (32 inch) HD Ready LED Smart TV,"₹16,999",Netflix|Prime Video|Disney+Hotstar|Youtube
7,7,Sansui 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 (Midnight Black) (2021 Model),"₹13,999",Netflix|Disney+Hotstar|Youtube
8,8,realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹29,999",Netflix|Prime Video|Disney+Hotstar|Youtube
9,9,Sansui Neo 80 cm (32 inch) HD Ready LED Smart TV with Bezel-less Design and Dolby Audio (Midnight Blac...,"₹10,499",Youtube
10,10,realme 100.3 cm (40 inch) Full HD LED Smart Android TV,"₹22,999",Netflix|Prime Video|Disney+Hotstar|Youtube
11,11,SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart TV with (Black) (2022 Model),"₹35,999",Netflix|Prime Video|Disney+Hotstar|Youtube
12,12,Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹29,999",Netflix|Disney+Hotstar|Youtube
13,13,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499",Netflix|Prime Video|Disney+Hotstar|Youtube
14,14,OnePlus Y1 108 cm (43 inch) Full HD LED Smart Android TV,"₹24,999",Netflix|Prime Video|Disney+Hotstar|Youtube
15,15,MarQ By Flipkart Innoview 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹28,999",Netflix|Disney+Hotstar|Youtube
16,16,Xiaomi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹22,999",Netflix|Prime Video|Disney+Hotstar|Youtube
17,17,OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,499",Netflix|Prime Video|Disney+Hotstar|Youtube
18,18,Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹31,999",Netflix|Prime Video|Disney+Hotstar|Youtube
19,19,Lloyd 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹1,24,5",Netflix|Prime Video|Disney+Hotstar|Youtube
20,20,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹32,99",Netflix|Prime Video|Disney+Hotstar|Youtube
21,21,Vu Premium TV 80 cm (32 inch) HD Ready LED Smart TV with Bezel-Less Frame,"₹11,999",Netflix|Prime Video|Youtube
22,22,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV,"₹25,999",Netflix|Prime Video|Disney+Hotstar|Youtube
23,23,Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹46,999",Netflix|Prime Video|Disney+Hotstar|Youtube
